,FID,T7590,T9000,T0015
774,774,3,3,1
775,775,2,2,2
776,776,5,2,2
777,777,2,2,1
778,778,1,3,2
779,779,5,2,2
780,780,5,1,1
781,781,5,2,2
782,782,2,1,2
783,783,5,2,2
784,784,5,1,1
785,785,5,2,2
786,786,1,1,1
787,787,3,2,2
788,788,1,1,1
789,789,2,2,2
790,790,5,2,2
791,791,5,1,1
792,792,5,2,2
793,793,3,3,3
794,794,9,6,5
795,795,3,3,5
796,796,2,1,5
797,797,3,3,6
798,798,1,2,5
799,799,3,3,2
800,800,3,3,6
801,801,3,3,6
802,802,2,3,6
803,803,3,3,5
804,804,3,2,6
805,805,9,6,5
806,806,3,3,5
807,807,2,1,5
808,808,3,3,2
809,809,3,3,5
810,810,3,1,6
811,811,6,3,9
812,812,6,3,9
813,813,3,6,9
814,814,9,3,9
815,815,9,3,9
816,816,6,3,9
817,817,9,9,9
818,818,9,6,9
819,819,9,5,9
820,820,9,9,9
821,821,9,9,9
822,822,9,9,9
823,823,9,9,9
824,824,9,9,9
825,825,5,9,9
826,826,9,9,9
827,827,3,3,2
828,828,3,3,3
829,829,3,3,5
830,830,3,3,3
831,831,3,3,3
832,832,1,1,1
833,833,6,3,5
834,834,3,3,6
835,835,3,3,2
836,836,3,3,5
837,837,1,3,5
838,838,6,3,9
839,839,9,3,9
840,840,9,3,6
841,841,9,3,6
842,842,9,3,9
843,843,9,3,9
844,844,6,3,9
845,845,6,3,9
846,846,6,3,9
847,847,9,9,9
848,848,6,3,6
849,849,6,3,6
850,850,6,6,6
851,851,9,9,9
852,852,9,9,9
853,853,9,9,9
854,854,9,9,9
855,855,9,6,9
856,856,6,3,9
857,857,9,6,9
858,858,9,6,9
859,859,9,9,9
860,860,9,3,9
861,861,3,3,3
862,862,9,9,6
863,863,9,3,9
864,864,9,2,6
865,865,6,3,9
866,866,6,6,9
867,867,6,6,9
868,868,3,6,6
869,869,6,3,9
870,870,6,6,9
871,871,3,6,9
872,872,6,3,6
873,873,3,3,6
874,874,9,9,9
875,875,6,6,9
876,876,9,6,9
877,877,6,9,6
878,878,3,3,3
879,879,3,2,3
880,880,9,6,9
881,881,9,3,9
882,882,9,3,9
883,883,9,3,9
884,884,9,3,9
885,885,9,3,9
886,886,9,3,9
887,887,9,3,9
888,888,9,2,9
889,889,9,3,3
890,890,9,3,6
891,891,9,9,9
892,892,9,9,9
893,893,3,3,3
894,894,6,6,9
895,895,9,3,3
896,896,3,6,6
897,897,6,3,6
898,898,3,3,6
899,899,6,2,6
900,900,6,3,6
901,901,9,3,6
902,902,9,6,9
903,903,6,6,9
904,904,6,6,9
905,905,6,6,9
906,906,6,6,6
907,907,9,6,6
908,908,9,9,9
909,909,9,9,9
910,910,9,9,9
911,911,9,9,9
912,912,9,9,9
913,913,9,9,9
914,914,9,9,9
915,915,9,9,9
916,916,9,9,9
917,917,9,9,9
918,918,9,6,9
919,919,6,6,6
920,920,9,6,6
921,921,9,6,6
922,922,9,6,9
923,923,9,6,9
924,924,9,6,9
925,925,9,6,6
926,926,9,9,9
927,927,9,9,9
928,928,9,6,9
929,929,6,6,9
930,930,3,6,9
931,931,6,6,6
932,932,6,9,9
933,933,6,6,3
934,934,6,3,9
935,935,9,9,9
936,936,9,9,9
937,937,9,9,9
938,938,9,9,9
939,939,5,9,9
940,940,6,6,6
941,941,9,9,9
942,942,9,9,9
943,943,9,9,9
944,944,9,9,9
945,945,9,9,9
946,946,9,9,9
947,947,9,9,9
948,948,9,9,9
949,949,9,9,9
950,950,5,5,6
951,951,9,9,9
952,952,9,9,9
953,953,6,9,6
954,954,6,6,6
955,955,6,6,6
956,956,9,9,9
957,957,9,3,9
958,958,9,9,9
959,959,9,6,9
960,960,9,6,9
961,961,3,3,6
962,962,6,3,6
963,963,5,1,6
964,964,3,3,6
965,965,3,1,6
966,966,9,6,9
967,967,6,3,6
968,968,3,3,6
969,969,9,6,9
970,970,6,6,2
971,971,6,5,3
972,972,9,6,9
973,973,9,6,9
974,974,9,3,9
975,975,9,9,9
976,976,9,9,9
977,977,9,6,9
978,978,9,6,9
979,979,9,3,9
980,980,6,6,9
981,981,6,6,9
982,982,6,6,9
983,983,9,9,9
984,984,6,6,9
985,985,9,6,9
986,986,6,6,9
987,987,6,6,9
988,988,9,3,9
989,989,6,6,9
990,990,6,6,9
991,991,9,9,9
992,992,9,9,9
993,993,9,9,9
994,994,9,3,9
995,995,9,9,9
996,996,3,3,6
